,t_stat,p_val
"[1,48]",-0.3490787219624883,0.7270536166273072
"[1,49]",-5.360261663355631,8.911123172865722e-08
"[1,50]",-3.2729543798347933,0.0010758254566769223
"[1,51]",3.207557956973108,0.0013521268118082176
"[1,52]",1.492829290858179,0.13558234354413334
"[1,53]",-4.333980698770601,1.510334018740519e-05
"[1,54]",-5.127206986660032,3.118896423211805e-07
"[1,55]",-8.836554371480009,1.6109636141375721e-18
"[1,56]",-8.786003501200327,2.501679680372129e-18
"[1,57]",-8.471233694576226,3.6773646805117944e-17
"[1,58]",-7.0750219106505385,1.834661022935522e-12
"[1,59]",-9.11620335680202,1.3530378927497717e-19
"[1,60]",-9.464900544723951,5.578510790815336e-21
"[1,61]",-4.758088206682762,2.0425604513543083e-06
"[1,62]",-5.779856571400749,8.208845724213694e-09
"[1,63]",-0.5592790327824809,0.5760111895223595
"[1,64]",-3.246743036184071,0.0011796108341975483
"[1,65]",-4.478963884160996,7.768056242382219e-06
"[1,66]",-6.130555690759011,9.848713843751651e-10
"[1,67]",-4.082502423447918,4.56644244034216e-05
"[1,68]",-3.8467089298849353,0.0001220941318895996
"[1,69]",1.9817407906524007,0.04759532842563077
"[1,70]",-0.5797739785992163,0.5621086430092095
"[1,71]",-4.221593423512772,2.494617067364722e-05
"[1,72]",-3.302740811899743,0.000968174840738821
"[1,73]",-4.86412508038765,1.206219034198883e-06
"[1,74]",-5.315516441896648,1.137933979335762e-07
"[1,75]",-0.9867386951917151,0.3238467813416347
"[1,76]",-2.6095902161895648,0.009108110695940117
"[1,77]",-4.928256999793162,8.726542672872225e-07
"[1,78]",-6.132635380945454,9.722286055534162e-10
"[1,79]",-1.6858601594343308,0.09192208917542975
"[1,80]",-2.150749822104707,0.031572050634673034
"[1,81]",5.376374704656758,8.156310808049197e-08
"[1,82]",3.2390717169409466,0.001211692540406432
"[1,83]",1.3267366743852769,0.1846922799045909
"[1,84]",-0.08646104978967263,0.9311054305530303
"[1,85]",0.20865177012998132,0.8347336266481981
"[1,86]",-3.505602958448004,0.000461950467895545
"[1,87]",2.277218552914847,0.022840145749175745
"[1,88]",-1.308599506494741,0.19076581828809072
"[1,89]",-4.222831505605252,2.48102540052005e-05
"[1,90]",-7.164483781628335,9.686226169392977e-13
"[1,91]",1.8012528859234054,0.07175893239168993
"[1,92]",-0.9255503083268657,0.3547508536588402
"[1,93]",-0.19576360807090235,0.8448078624851815
"[1,94]",-3.0200189030704316,0.0025479409467618194
"[1,95]",0.6033662620873393,0.5463086409621687
"[1,96]",-2.219369722431545,0.026532783096713437
"[1,97]",2.9696766247697766,0.0030037057330357005
"[1,98]",-1.7520309361418134,0.07986609776886185
"[1,99]",4.192985552311173,2.829138372408099e-05
"[1,100]",0.5202425993557859,0.6029311743092971
"[1,101]",-0.06741743198634038,0.9462536843192463
"[1,102]",-4.008977278615423,6.240088040175699e-05
"[1,103]",-2.8260626945494542,0.004742197356166218
"[1,104]",-4.556241690648772,5.406148898564966e-06
"[1,105]",-0.958484625034326,0.33789223384656764
"[1,106]",-1.0303037338949967,0.30294679954958936
"[1,107]",-1.414160837699481,0.15741382484483446
"[1,108]",-2.7080971743338416,0.006803704390618267
"[1,109]",-0.8938691883890549,0.3714603901396609
"[1,110]",-1.3842181450363178,0.16639003618749074
"[1,111]",-1.5833777692759228,0.11343609263073388
"[1,112]",1.2245277403135635,0.2208450677042721
"[1,113]",1.7093258962111515,0.08748940806134832
